name,address,plus_code,category,overall_rating,url,keywords
Christian Armani Ladies & Gents Tailors,"14 Scotts Road, #02-42, Far East Plaza, 228213",8R4M+R8 Singapore,Tailor,4.6,"https://www.google.com.sg/maps/place/Christian+Armani+Ladies+%26+Gents+Tailors/@1.3071186,103.8311,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1992a6c0228d:0x1916c0338bcf1d58!8m2!3d1.3071186!4d103.8332887?hl=en","['suit', 'fabric', 'shirts']"
Marina South Ferries,"31 Marina Coastal Dr, #01-03, Singapore 018988",7VC7+98 Singapore,Transportation service,4.6,"https://www.google.com.sg/maps/place/Marina+South+Ferries+Pte+Ltd/@1.2708997,103.8610656,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19701f930a6f:0x470deb2b025b6276!8m2!3d1.2707398!4d103.8633712?hl=en","['ferry', 'trip', 'island', 'pleasant', 'experience', 'great', 'tickets', 'passengers', 'air', 'deck']"
Leong San See Temple,"371 Race Course Rd, Singapore 218641",8V84+3P Singapore,Buddhist temple,4.2,"https://www.google.com.sg/maps/place/Leong+San+See+Temple+(%E9%BE%8D%E5%B1%B1%E5%AF%BA)/@1.3151969,103.8546503,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19cf86657233:0x8c67cd5e8835ab6!8m2!3d1.3151671!4d103.8568767?hl=en","['ancestors', 'religious', 'peace', 'history']"
Tiger Brewery Tour,"459 Jln. Ahmad Ibrahim, Singapore 639934",8JPX+J5 Singapore,Tourist attraction,4.4,"https://www.google.com.sg/maps/place/Tiger+Brewery+Tour/@1.3365276,103.645791,17z/data=!3m1!4b1!4m5!3m4!1s0x31da0f5011fa0171:0xe4e0aa533baf8936!8m2!3d1.3365276!4d103.6479797?hl=en","['factory', 'brewed', 'sampling', 'rice', 'tavern', 'automated', 'bottling', 'heineken', 'table-glass', 'beer']"
World of Birdnest Museum,"10 Neo Tiew Lane 2, D'Kranji Farm Resort, Singapore 718813",CP99+RH Singapore,Museum,4.1,"https://www.google.com.sg/maps/place/World+of+Birdnest+Museum/@1.4195615,103.7167956,17z/data=!3m1!4b1!4m5!3m4!1s0x31da0df2f29dc2f3:0x1b140cd43ad70940!8m2!3d1.4195615!4d103.7189843?hl=en",[]
Singapore Airlines SilverKris Lounge,"65 Airport Blvd., Singapore 819663",9X4P+66 Singapore,Lounge,4.4,"https://www.google.com.sg/maps/place/SilverKris+Lounge+Changi+Airport+Terminal+3+Singapore/@1.3555124,103.9834037,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c8d17962599:0x148ce56420e66921!8m2!3d1.3555124!4d103.9855924?hl=en","['shower', 'comfortable', 'business', 'power', 'passengers', 'star', 'first', 'blanket', 'massage', 'toothbrush']"
The Gem Museum,"26 Kandahar St, Level 2, Singapore 198888",8V25+VW Singapore,Museum,4.8,"https://www.google.com.sg/maps/place/The+Gem+Museum/@1.3022081,103.8575648,17z/data=!3m2!4b1!5s0x31da19b123924d47:0xfd7ad7b265c9a6d4!4m5!3m4!1s0x31da19a4b9b0d731:0x73aee4dfb4d207c3!8m2!3d1.3022081!4d103.8597535?hl=en","['gems', 'learn', 'experience', 'minerals', 'jewellery', 'kids', 'questions', 'guided', 'interest']"
The Sandalwood Room,"1, North Bridge Road, # 10-05/06, High Street Centre, Singapore, Available only online, 179094",8V47+6C Singapore,Permanently closed,5,"https://www.google.com.sg/maps/place/The+Sandalwood+Room/@1.305558,103.8613863,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19bc9ae75003:0x41c6729129d3b3bf!8m2!3d1.3055234!4d103.863537?hl=en",
Raffles Lighthouse,Coney Islet,5P5R+X8 Singapore,Lighthouse,4.7,"https://www.google.com.sg/maps/place/Raffles+Lighthouse/@1.1599741,103.7386767,17z/data=!3m1!4b1!4m5!3m4!1s0x31d9f7ed6068631d:0xa7bda53015b1ffb4!8m2!3d1.1599741!4d103.7408654?hl=en","['island', 'ships']"
Oriental Travel and Tours,"50 Lor 28 Geylang, Singapore 398453",8V6P+J4 Singapore,Tour operator,5,"https://www.google.com.sg/maps/place/Oriental+Travel+and+Tours+LLP/@1.3116041,103.8831826,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19dd78e9854d:0x928063e93455379c!8m2!3d1.3116043!4d103.8853823?hl=en","['guide', 'history', 'experience', 'stories', 'WWII', 'singing', 'bird', 'educational']"
Meomi Cat Cafe,"668 North Bridge Rd, Singapore 188801",8V25+J8 Singapore,·$$,4.6,"https://www.google.com.sg/maps/place/Meomi+Cat+Cafe/@1.3015467,103.8561613,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19b0eee84159:0xcf098b92f99d8446!8m2!3d1.3015467!4d103.85835?hl=en","['cats', 'kids', 'funny', 'interact', 'sleeping', 'personalities', 'oreo', 'breeds', 'entertaining', 'toys']"
Waterway Point,"83 Punggol Central, Singapore 828761",CW42+PX Singapore,Shopping mall,4.3,"https://www.google.com.sg/maps/place/Waterway+Point/@1.4067567,103.9002864,17z/data=!3m1!4b1!4m5!3m4!1s0x31da15e4a68f302d:0x31aca96bff05c660!8m2!3d1.4067567!4d103.9024751?hl=en","['cinema', 'river', 'basement', 'amenities', 'cycle', 'varieties', 'IMAX', 'navigate', 'bus']"
My Foot Reflexology,"1, #03-114 Kim Seng Promenade, Great World City, 237994",7RVJ+CW Singapore,Reflexologist,4.2,"https://www.google.com.sg/maps/place/My+Foot+Reflexology/@1.2935073,103.8301346,17z/data=!3m2!4b1!5s0x31da1983595baf13:0x5a662f94078411a2!4m5!3m4!1s0x31da19835f9379bb:0x57fe2c085d249d4b!8m2!3d1.2935073!4d103.8323233?hl=en",['job']
